,Date,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10
336,2016-12-05,50190.65679433005,52604.23041656726,49143.953734584255,56877.55501633829,45208.998567613104,52304.28183120211,54091.1127864934,49863.99617403974,49702.465773964286,49591.794225186924
337,2016-12-06,50272.477524473914,52527.12090786348,49267.54084157005,56920.230113910926,45238.02640943016,52204.50899352783,54017.15324761786,49990.71140662003,49741.02052831618,49665.81108943065
338,2016-12-07,50537.28522203098,52554.88037806075,49521.70681041983,57167.558764231195,45449.03239960066,52479.597114045384,54108.994848162176,50061.65746634741,49768.77999851345,49764.1676277833
339,2016-12-08,49695.6261669634,52638.15878865257,49042.22873266548,56366.22657153146,44941.794851649036,51761.54333193745,54531.25279496555,50209.64188545346,49852.058409105266,49110.5572317544
340,2016-12-09,50005.36287039804,52628.90543582052,49071.60363122156,56452.435268851725,44971.16975020512,51733.11416866195,54639.95367955898,50318.46774885863,49948.18956403693,49145.74412750107
341,2016-12-10,50248.70969141992,52858.18428477658,49334.594845704036,56674.04658819371,45234.16096468759,52096.66737112882,54883.65081586993,50526.25741344657,50086.92624552993,49236.88292756496
342,2016-12-11,50248.70969141992,52858.18428477658,49334.594845704036,56674.04658819371,45234.16096468759,52096.66737112882,54883.65081586993,50526.25741344657,50086.92624552993,49236.88292756496
343,2016-12-12,50248.70969141992,52858.18428477658,49334.594845704036,56674.04658819371,45234.16096468759,52096.66737112882,54883.65081586993,50526.25741344657,50086.92624552993,49236.88292756496
344,2016-12-13,50386.38172583614,53018.21786535529,49379.30785591886,56520.354851616285,45278.87397490241,52295.31672806963,54556.7113968505,50442.93024683546,49988.69242733685,49144.50178253722
345,2016-12-14,50072.6945252622,53000.47984058415,49683.67663131767,56616.135664857706,45583.24275030123,52414.58437965976,54720.54522912266,50519.86326189965,50078.13915151783,49134.08120661889
346,2016-12-15,49450.48932889466,52812.33303939014,49138.130351807034,56126.99782234922,45298.33177607343,52250.31104074674,54459.507717175846,50006.85195711017,49889.992350323824,48776.68172830226
347,2016-12-16,49576.97503745466,52650.3349335244,48841.19962560383,56301.42095023989,45001.40104987023,52084.68969464265,54504.5052167363,50080.754133814844,49727.99424445808,48844.53049880624
348,2016-12-17,50306.924073108006,52852.87571119201,49107.190287480975,56403.13054883793,45024.841464067504,52075.46592579277,54427.11445186401,50191.68750126277,49930.535022125696,48953.256231861465
349,2016-12-18,50306.924073108006,52852.87571119201,49107.190287480975,56403.13054883793,45024.841464067504,52075.46592579277,54427.11445186401,50191.68750126277,49930.535022125696,48953.256231861465
350,2016-12-19,50306.924073108006,52852.87571119201,49107.190287480975,56403.13054883793,45024.841464067504,52075.46592579277,54427.11445186401,50191.68750126277,49930.535022125696,48953.256231861465
351,2016-12-20,50261.347612225145,52888.208308521345,49088.547086285995,56443.482158498606,44893.555972886985,52066.3872614011,54269.05576558926,50177.53336046397,49997.6598268806,48916.54610104593
352,2016-12-21,50475.802584409124,52903.19635024132,48996.21201256732,56430.572587812276,44829.40869602755,52061.96107685213,54149.967525689644,50181.50300359442,50006.42135396667,48852.3988241865
353,2016-12-22,50216.50637802153,52769.30465032146,48928.30863595453,56353.89950471432,44704.46677193235,51904.95059148158,54031.74904017565,50129.5758328457,49927.01076640385,48778.51386472947
